"Year"	"LAName"	"LACode"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
2000	"Aberdeen City"	"S12000033"	0	0	0	0	0	0	0
2000	"Aberdeenshire"	"S12000034"	0	0	0	0	0	0	0
2000	"Angus"	"S12000041"	0	0	0	0	0	0	0
2000	"Argyll and Bute"	"S12000035"	7.837	0	18.4	0	0	0	26.237
2000	"City of Edinburgh"	"S12000036"	0	0	0	0	0	0	0
2000	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2000	"Dumfries and Galloway"	"S12000006"	21.6	0	0	0	0	0	21.6
2000	"Dundee City"	"S12000042"	0	0	0	0	0	8.3	8.3
2000	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	0	13.2
2000	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2000	"East Lothian"	"S12000010"	0	0	0	0	0	0	0
2000	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0
2000	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2000	"Fife"	"S12000047"	0	0	0	0	0	12.5	12.5
2000	"Glasgow City"	"S12000049"	0	0	0	0	0	6.72	6.72
2000	"Highland"	"S12000017"	26	0	286.1	0	0	0	312.1
2000	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2000	"Midlothian"	"S12000019"	17.16	0	0	0	0	0	17.16
2000	"Moray"	"S12000020"	0	0	0	0	0	0	0
2000	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0
2000	"North Ayrshire"	"S12000021"	0	0	0	0	0	0	0
2000	"North Lanarkshire"	"S12000050"	0	0	0	0	0	7.7	7.7
2000	"Offshore"	NA	0	0	0	0	0	0	0
2000	"Orkney Islands"	"S12000023"	3.8	0	0	0	0	0	3.8
2000	"Perth and Kinross"	"S12000048"	0	0	36.5	0	0	0	36.5
2000	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2000	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0
2000	"Shetland Islands"	"S12000027"	3.68	0	0	0	0	0	3.68
2000	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2000	"South Lanarkshire"	"S12000029"	15.6	0	0	0	0	0	15.6
2000	"Stirling"	"S12000030"	0	0	0	0	0	0	0
2000	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	0	0
2000	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2001	"Aberdeen City"	"S12000033"	0	0	0	0	0	0	0
2001	"Aberdeenshire"	"S12000034"	0	0	0	0	0	0	0
2001	"Angus"	"S12000041"	0	0	0	0	0	0	0
2001	"Argyll and Bute"	"S12000035"	68.587	0	18.4	0	0	0	86.987
2001	"City of Edinburgh"	"S12000036"	0	0	0	0	0	0	0
2001	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2001	"Dumfries and Galloway"	"S12000006"	21.6	0	0	0	0	0	21.6
2001	"Dundee City"	"S12000042"	0	0	0	0	0	8.3	8.3
2001	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	0	13.2
2001	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2001	"East Lothian"	"S12000010"	0	0	0	0	0	0	0
2001	"East Renfrewshire"	"S12000011"	6.451	0	0	0	0	0	6.451
2001	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2001	"Fife"	"S12000047"	0	0	0	0	0	12.5	12.5
2001	"Glasgow City"	"S12000049"	0	0	0	0	0	6.72	6.72
2001	"Highland"	"S12000017"	26	0	286.1	0	0	0	312.1
2001	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2001	"Midlothian"	"S12000019"	17.16	0	0	0	0	2.18	19.34
2001	"Moray"	"S12000020"	0	0	0	0	0	0	0
2001	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0
2001	"North Ayrshire"	"S12000021"	0	0	0	0	0	0	0
2001	"North Lanarkshire"	"S12000050"	0	0	0	0	0	7.7	7.7
2001	"Offshore"	NA	0	0	0	0	0	0	0
2001	"Orkney Islands"	"S12000023"	3.8	0	0	0	0	0	3.8
2001	"Perth and Kinross"	"S12000048"	0	0	36.5	0	0	0	36.5
2001	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2001	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0
2001	"Shetland Islands"	"S12000027"	3.68	0	0	0	0	0	3.68
2001	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2001	"South Lanarkshire"	"S12000029"	15.6	0	0	0	0	0	15.6
2001	"Stirling"	"S12000030"	0	0	0	0	0	0	0
2001	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	0	0
2001	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2002	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2002	"Aberdeenshire"	"S12000034"	0	0	0	0	0	0	0
2002	"Angus"	"S12000041"	0	0	0	0	0	0	0
2002	"Argyll and Bute"	"S12000035"	81.337	0	18.4	0	0	0	99.737
2002	"City of Edinburgh"	"S12000036"	0	0	0	0	0	0	0
2002	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2002	"Dumfries and Galloway"	"S12000006"	21.6	0	0	0	0	0	21.6
2002	"Dundee City"	"S12000042"	0	0	0	0	0	8.3	8.3
2002	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	0	13.2
2002	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2002	"East Lothian"	"S12000010"	0	0	0	0	0	0	0
2002	"East Renfrewshire"	"S12000011"	6.451	0	0	0	0	0	6.451
2002	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2002	"Fife"	"S12000047"	0	0	0	0	0	12.5	12.5
2002	"Glasgow City"	"S12000049"	0	0	0	0	0	6.72	6.72
2002	"Highland"	"S12000017"	26	0	289.4	0	0	0	315.4
2002	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2002	"Midlothian"	"S12000019"	48.36	0	0	0	0	2.18	50.54
2002	"Moray"	"S12000020"	0	0	0	0	0	0	0
2002	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0
2002	"North Ayrshire"	"S12000021"	0	0	0	0	0	0	0
2002	"North Lanarkshire"	"S12000050"	0	0	0	0	0	14.372	14.372
2002	"Offshore"	NA	0	0	0	0	0	0	0
2002	"Orkney Islands"	"S12000023"	9.2	0	0	0	0	0	9.2
2002	"Perth and Kinross"	"S12000048"	0	0	36.5	0	0	0	36.5
2002	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2002	"Scottish Borders"	"S12000026"	30	0	0	0	0	0	30
2002	"Shetland Islands"	"S12000027"	3.68	0	0	0	0	0	3.68
2002	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2002	"South Lanarkshire"	"S12000029"	15.6	0	0	0	0	0	15.6
2002	"Stirling"	"S12000030"	0	0	0	0	0	0	0
2002	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	2.113	2.113
2002	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2003	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2003	"Aberdeenshire"	"S12000034"	0	0	0	0	0	0	0
2003	"Angus"	"S12000041"	0	0	0	0	0	0	0
2003	"Argyll and Bute"	"S12000035"	81.337	0	18.4	0	0	0	99.737
2003	"City of Edinburgh"	"S12000036"	0	0	0	0	0	2.4	2.4
2003	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2003	"Dumfries and Galloway"	"S12000006"	21.6	0	0	0	0	0	21.6
2003	"Dundee City"	"S12000042"	0	0	0	0	0	8.3	8.3
2003	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	6.74	19.94
2003	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2003	"East Lothian"	"S12000010"	0	0	0	0	0	0	0
2003	"East Renfrewshire"	"S12000011"	6.451	0	0	0	0	0	6.451
2003	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2003	"Fife"	"S12000047"	0	0	0	0	0	12.5	12.5
2003	"Glasgow City"	"S12000049"	0	0	0	0	0	6.72	6.72
2003	"Highland"	"S12000017"	33.5	0	289.4	0	0	0	322.9
2003	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2003	"Midlothian"	"S12000019"	48.36	0	0	0	0	2.18	50.54
2003	"Moray"	"S12000020"	0	0	0	0	0	0	0
2003	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0
2003	"North Ayrshire"	"S12000021"	24	0	0	0	0	0	24
2003	"North Lanarkshire"	"S12000050"	0	0	0	0	0	14.372	14.372
2003	"Offshore"	NA	0	0	0	0	0	0	0
2003	"Orkney Islands"	"S12000023"	9.2	0	0	0	0	0	9.2
2003	"Perth and Kinross"	"S12000048"	0	0	36.5	0	0	0	36.5
2003	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2003	"Scottish Borders"	"S12000026"	30	0	0	0	0	0	30
2003	"Shetland Islands"	"S12000027"	3.68	0	0	0	0	0	3.68
2003	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2003	"South Lanarkshire"	"S12000029"	15.6	0	0	0	0	0	15.6
2003	"Stirling"	"S12000030"	0	0	0	0	0	0	0
2003	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	2.113	2.113
2003	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2004	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2004	"Aberdeenshire"	"S12000034"	0	0	0	0	0	0	0
2004	"Angus"	"S12000041"	0	0	0	0	0	2	2
2004	"Argyll and Bute"	"S12000035"	114.639	0	18.4	0	0	0	133.039
2004	"City of Edinburgh"	"S12000036"	0	0	0	0	0	2.4	2.4
2004	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2004	"Dumfries and Galloway"	"S12000006"	21.6	0	0	0	0	0	21.6
2004	"Dundee City"	"S12000042"	0	0	0	0	0	8.3	8.3
2004	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	6.74	19.94
2004	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2004	"East Lothian"	"S12000010"	0	0	0	0	0	16.2	16.2
2004	"East Renfrewshire"	"S12000011"	6.451	0	0	0	0	0	6.451
2004	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2004	"Fife"	"S12000047"	0	0	0	0	0	12.5	12.5
2004	"Glasgow City"	"S12000049"	0	0	0	0	0	6.72	6.72
2004	"Highland"	"S12000017"	81.8	0	289.4	0	0	0	371.2
2004	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2004	"Midlothian"	"S12000019"	48.36	0	0	0	0	2.18	50.54
2004	"Moray"	"S12000020"	50.6	0	0	0	0	0	50.6
2004	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0
2004	"North Ayrshire"	"S12000021"	24	0	0	0	0	1.15	25.15
2004	"North Lanarkshire"	"S12000050"	0	0	0	0	0	14.372	14.372
2004	"Offshore"	NA	0	0	0	0	0	0	0
2004	"Orkney Islands"	"S12000023"	9.2	0	0	0	0	0	9.2
2004	"Perth and Kinross"	"S12000048"	0	0	47.5	0	0	1.92	49.42
2004	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2004	"Scottish Borders"	"S12000026"	92.5	0	0	0	0	0	92.5
2004	"Shetland Islands"	"S12000027"	3.68	0	0	0	0	0	3.68
2004	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2004	"South Lanarkshire"	"S12000029"	139.6	0	0	0	0	0	139.6
2004	"Stirling"	"S12000030"	0	0	0	0	0	0	0
2004	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	2.113	2.113
2004	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2005	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2005	"Aberdeenshire"	"S12000034"	28.5	0	0	0	0	6.472	34.972
2005	"Angus"	"S12000041"	0	0	0	0	0	2	2
2005	"Argyll and Bute"	"S12000035"	114.639	0	20.6	0	0	0	135.239
2005	"City of Edinburgh"	"S12000036"	0	0	0	0	0	2.4	2.4
2005	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2005	"Dumfries and Galloway"	"S12000006"	41.1	0	0	0	0	0	41.1
2005	"Dundee City"	"S12000042"	0	0	0	0	0	8.3	8.3
2005	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	6.74	19.94
2005	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2005	"East Lothian"	"S12000010"	0	0	0	0	0	16.2	16.2
2005	"East Renfrewshire"	"S12000011"	6.451	0	0	0	0	0	6.451
2005	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2005	"Fife"	"S12000047"	0	0	0	0	0	12.5	12.5
2005	"Glasgow City"	"S12000049"	0	0	0	0	0	6.72	6.72
2005	"Highland"	"S12000017"	216.55	0	294.9	0	0	0	511.45
2005	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2005	"Midlothian"	"S12000019"	48.36	0	0	0	0	4.18	52.54
2005	"Moray"	"S12000020"	50.6	0	0	0	0	0	50.6
2005	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0
2005	"North Ayrshire"	"S12000021"	24	0	0	0	0	1.15	25.15
2005	"North Lanarkshire"	"S12000050"	0	0	0	0	0	14.372	14.372
2005	"Offshore"	NA	0	0	0	0	0	0	0
2005	"Orkney Islands"	"S12000023"	9.2	0	0	0	0	0	9.2
2005	"Perth and Kinross"	"S12000048"	0	0	47.5	0	0	1.92	49.42
2005	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2005	"Scottish Borders"	"S12000026"	92.5	0	0	0	0	0	92.5
2005	"Shetland Islands"	"S12000027"	3.68	0	0	0	0	0	3.68
2005	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2005	"South Lanarkshire"	"S12000029"	139.6	0	0	0	0	0	139.6
2005	"Stirling"	"S12000030"	0	0	0	0	0	0	0
2005	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	4.113	4.113
2005	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2006	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2006	"Aberdeenshire"	"S12000034"	45.15	0	0	0	0	6.472	51.622
2006	"Angus"	"S12000041"	0	0	0	0	0	2	2
2006	"Argyll and Bute"	"S12000035"	114.639	0	20.6	0	0	0	135.239
2006	"City of Edinburgh"	"S12000036"	0	0	0	0	0	2.4	2.4
2006	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2006	"Dumfries and Galloway"	"S12000006"	41.1	0	0	0	0	0	41.1
2006	"Dundee City"	"S12000042"	4	0	0	0	0	8.3	12.3
2006	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	6.74	19.94
2006	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2006	"East Lothian"	"S12000010"	0	0	0	0	0	16.2	16.2
2006	"East Renfrewshire"	"S12000011"	6.451	0	0	0	0	0	6.451
