LA Code,Year,Region,Total - All Fuels,Coal,Manufactured fuels,Petroleum products,Total Gas,Bioenergy & Wastes
S12000033,2005,Aberdeen City,3618.6543563287732,18.90134664184644,13.034744043196337,554.4568691267227,3041.3599503705254,17.027445561848783
S12000034,2005,Aberdeenshire,3723.0832894352775,81.0069495916275,41.53396389365944,2525.8537556609917,1783.1767464695522,49.28981778299435
S92000003,2005,All local authorities,100095.00466864236,1993.2584384100985,1220.248405097487,40213.66450911097,59112.05483699709,1759.7006761459083
S12000041,2005,Angus,1568.6423407003651,41.7985759916021,10.967964413806579,628.7459313688666,1025.8642657196228,24.05644709457072
S12000035,2005,Argyll and Bute,1323.990578909352,53.8497747968998,22.247913652340895,835.0866879228588,564.5245247786627,22.07458284616494
S12000036,2005,City of Edinburgh,5937.011007406896,10.131492764569586,11.926568566948294,294.1915178284308,5613.003952312383,30.418295965788854
S12000005,2005,Clackmannanshire,922.4206352602198,3.572865512350032,4.851877338406423,78.59945886802716,842.1834449766789,5.10274880969959
S12000006,2005,Dumfries and Galloway,2707.9026642066497,66.12669763357687,41.61999765121732,1525.926343992437,1312.1246043267945,110.6886566098476
S12000042,2005,Dundee City,1922.3763597517743,3.605751225514966,5.242334340264296,212.12250474578428,1693.3205760158812,14.266165294260876
S12000008,2005,East Ayrshire,1882.0160081723964,15.121426622933056,6.626392884697859,301.20446251292026,1440.2508935759192,168.55537324897855
S12000045,2005,East Dunbartonshire,1277.7045040090595,2.8395850622024823,3.7594990466686506,89.59425623062337,1182.4212778324118,9.524971027260865
S12000010,2005,East Lothian,1902.3434192710067,273.51059842725647,212.37282455801767,270.4150991385657,864.7542099430377,348.9587171007809
S12000011,2005,East Renfrewshire,1014.3095000598407,2.257392554571367,2.884000208656024,55.0997572038513,957.8438828171122,7.735247602814957
S12000014,2005,Falkirk,20299.94064368059,12.418149611923583,531.6889329299611,17764.643796086144,2007.6970882324104,13.170040817695467
S12000047,2005,Fife,10974.912099062107,553.293081015679,33.88234202485162,4556.841374973461,5918.752402114232,38.478457360973785
S12000049,2005,Glasgow City,6996.819679107058,6.557029635800801,10.660009849734976,354.415176879063,6614.7303097663835,24.9631925696645
S12000017,2005,Highland,4111.944987155307,190.98580468856565,74.67227296465892,3091.4294578213685,1303.7610501067595,251.4600774343041
S12000018,2005,Inverclyde,897.5667921159725,1.6432792826396754,2.3213231101339638,43.16955838833773,851.1034784048293,5.356515183361751
S12000019,2005,Midlothian,967.4964657286862,17.909924834269408,7.55185787689161,177.97249448485718,793.2847464818547,9.919135858888088
S12000020,2005,Moray,2209.734249053542,69.48356203569745,13.168242017728936,697.9434715025718,1582.068240197611,27.71758751204128
S12000013,2005,Na h-Eileanan Siar,386.2486181071206,39.042221129155614,13.90361237075228,498.0015817327408,0,9.50230132505482
S12000021,2005,North Ayrshire,3452.5763684818894,243.10671161476142,6.6758806683866965,324.2549167763794,2765.611837427232,162.28645348787998
S12000050,2005,North Lanarkshire,4340.038440593321,13.73136327989663,34.153763706621,467.7485036558215,3751.3745349009696,113.01390559113904
S12000023,2005,Orkney Islands,351.36120102676495,24.767644013723828,9.487488712031958,412.0095804248314,0,6.84050022308373
S12000048,2005,Perth and Kinross,1862.2549076917694,42.451205115317855,16.098104523935405,858.4281153890071,1186.0499195407863,27.487518651167864
S12000038,2005,Renfrewshire,2212.8990356167546,3.9253820924289085,5.042594985684935,195.54544942108512,2009.3250763881194,12.822274243302868
S12000026,2005,Scottish Borders,1841.053143270021,67.5534817521188,24.10955115860591,993.3971463314281,984.1202338330609,28.918076527838615
S12000027,2005,Shetland Islands,366.1538333962727,20.177589955065912,5.94124148904837,416.82588328952454,0,6.962429009490385
S12000028,2005,South Ayrshire,1792.6973244414837,48.368862187111205,10.094562553009183,459.59891531575295,1345.9990406681811,13.200292606615541
S12000029,2005,South Lanarkshire,3927.2776987366456,35.82623395166657,22.621840917290438,828.2750493090589,3166.62967664125,30.01494424668237
S12000030,2005,Stirling,1916.288935152214,12.592283836520554,7.3244679469312945,353.0656502989503,1481.2692572464298,146.55202663193364
S12000039,2005,West Dunbartonshire,1043.1085529128445,2.1377975058501724,2.470263316481517,75.78381414132959,966.596063344825,5.5782871697825405
S12000040,2005,West Lothian,2344.18782840843,14.564374046955287,11.311971376866863,273.0179282891009,2062.864351171694,17.758190749998917
S12000033,2006,Aberdeen City,3202.0788653022837,17.600689342971506,14.219231476877848,553.4255907419677,2625.831485088035,18.541990801263367
S12000034,2006,Aberdeenshire,3439.393356405137,77.38480636719765,41.307538002852205,2528.1105077349443,1545.2245204278936,56.121259129134785
S92000003,2006,All local authorities,94370.0388916883,2185.254915345907,1181.1298985892577,36703.6883605078,57061.74509092492,1722.7826735653905
S12000041,2006,Angus,1532.1379984808457,42.675900630993915,10.46409038333093,632.5591067865166,986.3093781758532,33.8399264673705
S12000035,2006,Argyll and Bute,1292.534587168698,50.80539073036779,21.362309798086144,819.6356942991373,560.9122795668338,26.007150877534407
S12000036,2006,City of Edinburgh,5659.230879639183,9.311936453952992,11.301891967791876,287.5134433716973,5342.7530993477285,31.979979608474125
S12000005,2006,Clackmannanshire,898.4930334379973,3.2250875302376105,4.785518408750502,79.4611900387471,818.3192826165723,5.329995360479576
S12000006,2006,Dumfries and Galloway,2565.6417837914964,62.61092286294931,41.2050387328782,1499.9174842345456,1252.1636817600643,82.15749299739664
S12000042,2006,Dundee City,1811.7120461202478,3.1074943539698774,4.854615374290141,197.68090382560908,1598.0806265136255,14.396572403642303
S12000008,2006,East Ayrshire,1811.632631769164,14.48209920208748,6.312621830095988,295.3604888259691,1368.249178776121,180.1093092111189
S12000045,2006,East Dunbartonshire,1200.0993964623724,2.5819478675044025,3.5680128429990847,86.68062800552646,1108.2422080185308,9.96906766729623
S12000010,2006,East Lothian,1931.5481131663155,334.01002506769953,186.19847134584035,272.81549943336483,847.4327492316395,363.37791309501296
