"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"April 2021 - September 2021"	0.296788296760605	0.261490048444545	0.242407253594952	0.164935085362644	0.0190000078479999	0.0153793079892539	1
"October 2020 - March 2021"	0.2781893692148	0.278024421803574	0.240823825284835	0.1764926233336	0.0190000078479999	0.00746975251519135	1
"April 2020 - September 2020"	0.313979531861871	0.265501071195879	0.230301450474458	0.171217938619791	0.0190000078479999	0	1
"October 2019 - March 2020"	0.343093059420194	0.254493624284197	0.214822217435458	0.16859109101215	0.0190000078479999	0	1
"April 2019 - September 2019"	0.370616207852741	0.243790232729114	0.204688433503625	0.161905118066519	0.0190000078479999	0	1
"October 2018 - March 2019"	0.346148325860505	0.266000737380551	0.19922124119613	0.169629687714814	0.0190000078479999	0	1
"April 2018 - September 2018"	0.329037701989171	0.279503440291201	0.212542898696924	0.159915951174705	0.0190000078479999	0	1
"October 2017 - March 2018"	0.316321414083493	0.321608387723662	0.182916372036117	0.160153818308728	0.0190000078479999	0	1
"April 2017 - September 2017"	0.325367036785041	0.316370382094748	0.182413550790727	0.156849022481484	0.0190000078479999	0	1
"October 2016 - March 2017"	0.291457603055886	0.354194272825004	0.170195112142053	0.165153004129057	0.0190000078479999	0	1
"April 2016 - September 2016"	0.301299532353233	0.349103464867985	0.169183753109066	0.161413241821716	0.0190000078479999	0	1
"October 2015 - March 2016"	0.355856942676808	0.311155439613186	0.142855748537896	0.17113186132411	0.0190000078479999	0	1
