"Quarter"	"Onshore Wind"	"Offshore Wind"	"Shoreline wave / tidal"	"Solar photovoltaics"	"Hydro"	"Landfill gas"	"Sewage sludge digestion"	"Other Biomass"	"Total"
2011 Q1	1536.07	127.48	0.09	0.34	1199.88	124.86	8.44	175.46	3172.62
2011 Q2	1559.35	144.98	0.09	2.49	1085.04	128.62	9.16	201.06	3130.79
2011 Q3	1131.52	122.33	0.12	3.72	1143.95	133.95	9.16	195.34	2740.09
2011 Q4	2425.59	208.84	0.16	2.14	1900.77	137.96	8.86	140.98	4825.3
2012 Q1	2379.45	145.98	0.25	8.85	1705.6	140.95	9.16	230.69	4620.93
2012 Q2	1301.94	110.74	0.11	22.33	707.56	135.54	8.7	206.31	2493.24
2012 Q3	1688.61	127.56	0.09	29.01	948.96	137.32	9.53	211.71	3152.8
2012 Q4	2381.82	155.57	0.28	9.76	1484.46	139.03	9.67	219.64	4400.24
2013 Q1	2490.42	158.64	0.23	7.46	1145.73	143.9	6.46	141.03	4093.87
2013 Q2	2362.38	132.36	0.22	33.55	920.55	139.57	8.39	184.48	3781.49
2013 Q3	1763.23	101.09	0.26	40.32	689.23	137.6	8.33	221.56	2961.62
2013 Q4	3948.42	194.66	0.68	14.59	1613.96	141.83	7.46	231.06	6152.66
2014 Q1	4053.32	202.05	0.45	20.11	2078.09	135.88	6.95	238.01	6734.86
2014 Q2	1880.64	110	0.93	51.46	1051.11	131.33	7.41	323.59	3556.49
2014 Q3	1744.46	89.92	0.21	53.21	737.5	131.75	7.6	271.09	3035.74
2014 Q4	3452.37	167.26	0.55	18.38	1616.9	134.07	5.7	322.74	5717.97
2015 Q1	4324.64	152.63	0.56	27.41	1862.67	126.47	7.66	304.92	6806.96
2015 Q2	2811.82	125.25	0.47	73.17	1342.37	127.56	6.59	337.13	4824.37
2015 Q3	2264.8	101.1	0.48	64.76	958.02	125.14	5.84	325.11	3845.25
2015 Q4	3938.17	159.59	0.48	19.89	1650.97	124.26	6.09	366.8	6266.25
2016 Q1	3455.77	139.15	0	30.05	1899.76	128.2	7.06	366.7	6026.7
2016 Q2	2313.03	111.92	0	94.43	861.34	122.38	8.36	302.18	3813.63
2016 Q3	2618.71	114.25	0	90.54	1045.76	121.56	7.7	346.01	4344.52
2016 Q4	3525.76	137.11	0.01	31.5	1108.92	120.67	8.87	357.89	5290.73
2017 Q1	4477.3	158.88	0.33	40.2	1648.46	113.04	9.38	497.99	6945.58
2017 Q2	3635.03	128.46	0.1	115.48	787.01	110.94	8.69	473.86	5259.57
2017 Q3	3232.05	123.33	2.44	99.51	1150.43	110.77	9.38	478.71	5206.61
2017 Q4	5242.61	203.49	1.32	34.38	1770.3	110.73	8.51	518.29	7889.62
2018 Q1	5453.21	345.02	3.14	46.67	1397	106.04	8.96	477.19	7837.23
2018 Q2	3232.7	252.5	3.11	129.51	872.92	105.42	9.8	419.66	5025.62
2018 Q3	3328.89	232.39	1.14	117.28	837.23	105.07	8.18	373.4	5003.58
2018 Q4	5887.59	378.8	1.91	38.32	1890.14	105.52	8.15	420.12	8730.55
2019 Q1	5835.26	776.2	3.16	57.78	1683.65	104.96	7.26	519.57	8987.84
2019 Q2	3620.98	683.15	3.92	133.68	768.15	99.12	6.17	495.83	5811
2019 Q3	4014.27	713.16	3.98	124.34	1297.9	101.97	7.15	499.83	6762.6
2019 Q4	5391.96	988.77	2.93	36.16	1575.02	106.19	8.06	504.31	8613.4
2020 Q1	7428.16	1190.99	2.93	56.96	2187.16	101.59	8.31	494.81	11470.91
2020 Q2	3478.79	645.88	3.13	150.07	1009.48	99.34	8.91	497.34	5892.94
2020 Q3	3829.12	672.24	3.45	117.6	1060.29	100.6	8.27	495.23	6286.8
2020 Q4	4847.3	982.61	1.77	28.23	1929.81	105.26	8.65	508.95	8412.58
2021 Q1	5777.82	980.71	1.34	32.57	1398.39	98.93	8.59	515.14	8813.49
2021 Q2	3187.26	555.79	0.83	91.01	846.15	91.68	8.35	520.03	5301.1
